Date,Code,AvailableDate,psych_fear_greed,psych_herding,psych_overreaction,psych_disposition,psych_greed_fear_axis,psych_crowd_pressure_axis
2024-04-01,000001,2024-04-02,-0.5936413795,-0.1839421382,0.1898572406,-0.4539525954,-0.5237969875,0.002957551236
2024-04-02,000001,2024-04-03,-0.4388173975,-0.1037566888,0.2221833967,-0.3706895215,-0.4047534595,0.05921335399
2024-04-03,000001,2024-04-04,-0.3855484461,-0.1058252587,0.07558813213,-0.4361280962,-0.4108382712,-0.01511856329
2024-04-04,000001,2024-04-05,-0.02266431846,-0.003001861287,-0.1987062432,-0.4060205612,-0.2143424399,-0.1008540522
2024-04-05,000001,2024-04-08,-0.136540115,-0.02938783602,0.1899603555,-0.3591929848,-0.2478665499,0.08028625973
2024-04-08,000001,2024-04-09,-0.6188480675,-0.1706061696,0.06855226055,-0.4318306998,-0.5253393837,-0.05102695452
2024-04-09,000001,2024-04-10,0.1015408107,-0.007166089381,0.3785394534,-0.1923679588,-0.04541357404,0.185686682
2024-04-10,000001,2024-04-11,0.2047301508,0.01568322838,0.6839583663,-0.06469390622,0.07001812228,0.3498207974
2024-04-01,000002,2024-04-02,-0.3808580619,-0.1779574284,0.1880106571,-0.7476316959,-0.5642448789,0.005026614328
2024-04-02,000002,2024-04-03,-0.3802254882,-0.179733757,0.6971834309,-0.630017231,-0.5051213596,0.258724837
2024-04-03,000002,2024-04-04,-0.08262230576,-0.08667810587,0.7719506768,-0.5227267461,-0.3026745259,0.3426362854
2024-04-04,000002,2024-04-05,-0.0919251208,-0.08736459336,0.8287795614,-0.4250244836,-0.2584748022,0.370707484
2024-04-05,000002,2024-04-08,-0.4372000987,-0.182552893,0.7478614503,-0.53295777,-0.4850789343,0.2826542787
2024-04-08,000002,2024-04-09,-0.175139896,-0.1060837728,0.5316771422,-0.4608499393,-0.3179949177,0.2127966847
2024-04-09,000002,2024-04-10,0.1135950594,-0.04749957429,0.2939195064,-0.4674505239,-0.1769277323,0.123209966
2024-04-10,000002,2024-04-11,-0.04299931248,-0.09686345283,0.2128969439,-0.3951772105,-0.2190882615,0.05801674554
2024-04-01,000003,2024-04-02,0.4978109121,0.1804195906,-0.6193601436,0.5319936606,0.5149022864,-0.2194702765
2024-04-02,000003,2024-04-03,0.4375097726,0.1418210359,-0.4614161931,0.5129161607,0.4752129666,-0.1597975786
2024-04-03,000003,2024-04-04,0.1402463059,0.04777094437,-0.2323576712,0.5034220249,0.3218341654,-0.09229336344
2024-04-04,000003,2024-04-05,0.06281720514,0.03135245344,-0.02478678482,0.4308771579,0.2468471815,0.003282834312
2024-04-05,000003,2024-04-08,0.08513178943,0.01961189025,-0.4243119399,0.1844653778,0.1347985836,-0.2023500248
2024-04-08,000003,2024-04-09,0.1823265808,0.04430578159,-0.2941508713,0.3041448666,0.2432357237,-0.1249225449
2024-04-09,000003,2024-04-10,0.2955221706,0.0956463253,-0.2746793179,0.2954018885,0.2954620296,-0.08951649631
2024-04-10,000003,2024-04-11,-0.1246376476,-0.02552888523,-0.3585782982,0.2016580688,0.0385102106,-0.1920535917
